topicIdx,updated,usercode,created,shortOrLong,players,done,key,wordNum,duration,worst,best
19,2015-03-22T01:53:00,ZH9VYEJJ,2015-03-22T01:36:43,short,"[u'19-5-word-4-short', u'19-5-histogram-0-short', u'19-5-wordcloud-1-short', u'19-5-topic-in-a-box-2-short']",True,4532343159128064,5,23.336,[u'19-5-word-4-short'],[u'19-5-histogram-0-short']
14,2015-03-22T01:52:40,C7O5R3L9,2015-03-22T01:36:36,long,"[u'14-20-word-4-long', u'14-20-histogram-0-long', u'14-20-wordcloud-1-long', u'14-20-topic-in-a-box-2-long']",True,4532960560676864,20,91.066,[u'14-20-topic-in-a-box-2-long'],[u'14-20-word-4-long']
1,2015-03-22T01:57:00,8304YB5J,2015-03-22T01:35:09,long,"[u'1-5-word-1-long', u'1-5-histogram-2-long', u'1-5-wordcloud-3-long', u'1-5-topic-in-a-box-4-long']",True,4535023218720768,5,182.623,[u'1-5-histogram-2-long'],[u'1-5-word-1-long']
40,2015-03-18T05:03:02,4540BK53,2015-03-15T02:07:37,long,"[u'40-20-word-2-long', u'40-20-histogram-2-long', u'40-20-wordcloud-2-long', u'40-20-topic-in-a-box-2-long']",True,4536060990193664,20,33.08,[u'40-20-word-2-long'],[u'40-20-topic-in-a-box-2-long']
21,2015-03-17T22:59:41,HZG8PRB4,2015-03-15T02:06:45,short,"[u'21-5-word-4-short', u'21-5-histogram-4-short', u'21-5-wordcloud-4-short', u'21-5-topic-in-a-box-4-short']",True,4538012515958784,5,64.097,[u'algorithm'],[u'21-5-histogram-4-short']
17,,,2015-03-22T01:36:40,short,"[u'17-5-word-3-short', u'17-5-histogram-4-short', u'17-5-wordcloud-0-short', u'17-5-topic-in-a-box-1-short']",False,4538689510178816,5,,,
17,,,2015-03-22T01:36:40,short,"[u'17-10-word-4-short', u'17-10-histogram-0-short', u'17-10-wordcloud-1-short', u'17-10-topic-in-a-box-2-short']",False,4539899348779008,10,,,
40,2015-03-18T06:31:50,EOJO4PQN,2015-03-15T02:07:36,short,"[u'40-5-word-1-short', u'40-5-histogram-1-short', u'40-5-wordcloud-1-short', u'40-5-topic-in-a-box-1-short']",True,4539969947303936,5,32.077,[u'bad_268'],[u'40-5-wordcloud-1-short']
32,,,2015-03-22T01:37:40,long,"[u'32-5-word-4-long', u'32-5-histogram-0-long', u'32-5-wordcloud-1-long', u'32-5-topic-in-a-box-2-long']",False,4540050746376192,5,,,
30,,,2015-03-22T01:37:37,long,"[u'30-5-word-1-long', u'30-5-histogram-2-long', u'30-5-wordcloud-3-long', u'30-5-topic-in-a-box-4-long']",False,4542047637733376,5,,,
23,2015-03-22T01:51:41,KWKPWXMC,2015-03-22T01:36:58,long,"[u'23-5-word-4-long', u'23-5-histogram-0-long', u'23-5-wordcloud-1-long', u'23-5-topic-in-a-box-2-long']",True,4542598467289088,5,27.466,[u'23-5-topic-in-a-box-2-long'],[u'23-5-word-4-long']
5,2015-03-18T18:28:57,93AQP4YT,2015-03-15T02:05:48,short,"[u'5-10-word-1-short', u'5-10-histogram-1-short', u'5-10-wordcloud-1-short', u'5-10-topic-in-a-box-1-short']",True,4543026890276864,10,29.871,[u'bad_105'],[u'5-10-word-1-short']
6,2015-03-18T11:25:09,KIM8V7VZ,2015-03-15T02:05:50,long,"[u'6-20-word-3-long', u'6-20-histogram-3-long', u'6-20-wordcloud-3-long', u'6-20-topic-in-a-box-3-long']",True,4543275193073664,20,47.26,[u'6-20-histogram-3-long'],[u'6-20-topic-in-a-box-3-long']
12,2015-03-22T02:02:48,JT306IH8,2015-03-22T01:36:33,short,"[u'12-20-word-2-short', u'12-20-histogram-3-short', u'12-20-wordcloud-4-short', u'12-20-topic-in-a-box-0-short']",True,4543387667529728,20,20.164,[u'12-20-wordcloud-4-short'],[u'12-20-topic-in-a-box-0-short']
4,2015-03-22T01:59:34,OA3QD2NL,2015-03-22T01:35:13,short,"[u'4-10-word-1-short', u'4-10-histogram-2-short', u'4-10-wordcloud-3-short', u'4-10-topic-in-a-box-4-short']",True,4545123908059136,10,43.048,[u'4-10-wordcloud-3-short'],[u'4-10-topic-in-a-box-4-short']
32,,,2015-03-22T01:37:40,short,"[u'32-10-word-4-short', u'32-10-histogram-0-short', u'32-10-wordcloud-1-short', u'32-10-topic-in-a-box-2-short']",False,4545233698160640,10,,,
40,2015-03-18T15:22:45,0B9N9VS0,2015-03-15T02:07:36,long,"[u'40-10-word-0-long', u'40-10-histogram-0-long', u'40-10-wordcloud-0-long', u'40-10-topic-in-a-box-0-long']",True,4545903713058816,10,15.901,[u'40-10-histogram-0-long'],[u'40-10-topic-in-a-box-0-long']
18,2015-03-22T01:53:00,ZH9VYEJJ,2015-03-22T01:36:41,long,"[u'18-5-word-2-long', u'18-5-histogram-3-long', u'18-5-wordcloud-4-long', u'18-5-topic-in-a-box-0-long']",True,4546029340852224,5,82.663,[u'18-5-word-2-long'],[u'18-5-histogram-3-long']
7,2015-03-18T18:28:57,93AQP4YT,2015-03-15T02:05:51,long,"[u'7-20-word-2-long', u'7-20-histogram-2-long', u'7-20-wordcloud-2-long', u'7-20-topic-in-a-box-2-long']",True,4546256437248000,20,47.036,[u'7-20-wordcloud-2-long'],[u'7-20-histogram-2-long']
0,2015-03-22T02:01:50,VSQK36MU,2015-03-22T01:35:07,short,"[u'0-5-word-0-short', u'0-5-histogram-1-short', u'0-5-wordcloud-2-short', u'0-5-topic-in-a-box-3-short']",True,4547054227423232,5,43.617,[u'0-5-topic-in-a-box-3-short'],"[u'0-5-word-0-short', u'0-5-wordcloud-2-short']"
3,2015-03-18T04:53:55,MVJF8DVX,2015-03-15T02:05:45,long,"[u'3-10-word-3-long', u'3-10-histogram-3-long', u'3-10-wordcloud-3-long', u'3-10-topic-in-a-box-3-long']",True,4547089124032512,10,51.951,[u'3-10-histogram-3-long'],[u'3-10-topic-in-a-box-3-long']
7,2015-03-19T02:55:52,BGWII7JV,2015-03-15T02:05:50,long,"[u'7-5-word-0-long', u'7-5-histogram-0-long', u'7-5-wordcloud-0-long', u'7-5-topic-in-a-box-0-long']",True,4548079919300608,5,88.932,[u'7-5-histogram-0-long'],[u'7-5-word-0-long']
33,2015-03-22T01:57:00,8304YB5J,2015-03-22T01:37:42,short,"[u'33-20-word-1-short', u'33-20-histogram-2-short', u'33-20-wordcloud-3-short', u'33-20-topic-in-a-box-4-short']",True,4548096562298880,20,21.656,[u'algorithm'],[u'33-20-wordcloud-3-short']
48,2015-03-22T01:53:07,47PRR4CE,2015-03-22T01:38:13,long,"[u'48-10-word-4-long', u'48-10-histogram-0-long', u'48-10-wordcloud-1-long', u'48-10-topic-in-a-box-2-long']",True,4549400621744128,10,60.855,[u'48-10-word-4-long'],[u'48-10-wordcloud-1-long']
38,2015-03-18T11:16:00,2SEZCRER,2015-03-15T02:07:20,long,"[u'38-10-word-3-long', u'38-10-histogram-3-long', u'38-10-wordcloud-3-long', u'38-10-topic-in-a-box-3-long']",True,4549935345172480,10,4.456,[u'38-10-wordcloud-3-long'],[u'38-10-word-3-long']
24,2015-03-18T05:09:38,1DNUJGSD,2015-03-15T02:06:50,long,"[u'24-20-word-0-long', u'24-20-histogram-0-long', u'24-20-wordcloud-0-long', u'24-20-topic-in-a-box-0-long']",True,4551127735468032,20,16.879,[u'24-20-histogram-0-long'],[u'24-20-word-0-long']
22,2015-03-18T06:31:50,EOJO4PQN,2015-03-15T02:06:47,long,"[u'22-20-word-1-long', u'22-20-histogram-1-long', u'22-20-wordcloud-1-long', u'22-20-topic-in-a-box-1-long']",True,4552615404765184,20,59.787,[u'22-20-wordcloud-1-long'],[u'22-20-topic-in-a-box-1-long']
43,,,2015-03-22T01:38:05,long,"[u'43-20-word-1-long', u'43-20-histogram-2-long', u'43-20-wordcloud-3-long', u'43-20-topic-in-a-box-4-long']",False,4553336959270912,20,,,
