topicIdx,visualization,cardinality,avgSharedTerms
47,wordcloud,5,1.4
48,wordcloud,5,2.0
49,wordcloud,5,1.0
0,topic-in-a-box,5,1.0
1,topic-in-a-box,5,1.9
2,topic-in-a-box,5,0.6666666666666666
3,topic-in-a-box,5,0.0
4,topic-in-a-box,5,0.6
5,topic-in-a-box,5,0.8
6,topic-in-a-box,5,0.5
7,topic-in-a-box,5,0.6666666666666666
8,topic-in-a-box,5,0.3333333333333333
9,topic-in-a-box,5,1.0
10,topic-in-a-box,5,1.3333333333333333
11,topic-in-a-box,5,0.6
12,topic-in-a-box,5,1.0
13,topic-in-a-box,5,0.8
14,topic-in-a-box,5,1.6
15,topic-in-a-box,5,1.4
16,topic-in-a-box,5,1.2
17,topic-in-a-box,5,1.6
18,topic-in-a-box,5,1.0
19,topic-in-a-box,5,1.6
20,topic-in-a-box,5,1.6
21,topic-in-a-box,5,0.8
22,topic-in-a-box,5,1.0
23,topic-in-a-box,5,0.8333333333333334
24,topic-in-a-box,5,1.6666666666666667
25,topic-in-a-box,5,0.6
26,topic-in-a-box,5,1.6666666666666667
27,topic-in-a-box,5,1.0
28,topic-in-a-box,5,1.0
29,topic-in-a-box,5,0.8
30,topic-in-a-box,5,1.4
31,topic-in-a-box,5,1.0
32,topic-in-a-box,5,0.4
33,topic-in-a-box,5,1.2
34,topic-in-a-box,5,0.8
35,topic-in-a-box,5,0.8
36,topic-in-a-box,5,0.6
37,topic-in-a-box,5,0.0
38,topic-in-a-box,5,0.6
39,topic-in-a-box,5,1.0
40,topic-in-a-box,5,1.4
41,topic-in-a-box,5,1.2
42,topic-in-a-box,5,0.4
43,topic-in-a-box,5,0.6
44,topic-in-a-box,5,0.8
45,topic-in-a-box,5,1.4
46,topic-in-a-box,5,1.6
47,topic-in-a-box,5,1.6
48,topic-in-a-box,5,1.4
49,topic-in-a-box,5,2.0
0,word,10,0.2727272727272727
1,word,10,2.4
2,word,10,0.7142857142857143
3,word,10,0.3333333333333333
4,word,10,0.2
5,word,10,0.6
6,word,10,1.4
7,word,10,1.8
8,word,10,0.8
9,word,10,0.2
10,word,10,1.6
11,word,10,0.2
12,word,10,2.1666666666666665
13,word,10,1.2
14,word,10,0.6363636363636364
15,word,10,0.6
16,word,10,0.6
17,word,10,1.0
18,word,10,0.4
19,word,10,1.6
20,word,10,0.6
21,word,10,1.2
22,word,10,0.6
23,word,10,0.6
24,word,10,1.6
25,word,10,1.2
26,word,10,1.0
27,word,10,1.6
28,word,10,0.6
29,word,10,1.5
30,word,10,1.4
31,word,10,1.0
32,word,10,0.6
33,word,10,1.0
34,word,10,1.4
35,word,10,1.0
36,word,10,0.4
37,word,10,1.4
38,word,10,0.6
39,word,10,1.2
40,word,10,1.2
41,word,10,0.8
42,word,10,0.2
43,word,10,0.4
44,word,10,1.0
45,word,10,0.6
46,word,10,0.6
47,word,10,0.0
48,word,10,1.8
49,word,10,0.8333333333333334
0,histogram,10,0.7142857142857143
1,histogram,10,1.4
2,histogram,10,1.0666666666666667
3,histogram,10,0.6153846153846154
4,histogram,10,0.0
5,histogram,10,0.6
6,histogram,10,0.2
7,histogram,10,1.2
8,histogram,10,1.2
9,histogram,10,0.4
10,histogram,10,1.8
11,histogram,10,0.4
12,histogram,10,1.0
13,histogram,10,1.0
14,histogram,10,1.8
15,histogram,10,1.2
16,histogram,10,1.6
17,histogram,10,1.0
18,histogram,10,1.6
19,histogram,10,1.8
20,histogram,10,1.0
21,histogram,10,1.8
22,histogram,10,1.4
23,histogram,10,0.6
24,histogram,10,1.75
25,histogram,10,1.4
26,histogram,10,1.2
27,histogram,10,1.0
28,histogram,10,2.0
29,histogram,10,1.2
30,histogram,10,1.6
31,histogram,10,1.2
32,histogram,10,0.8
33,histogram,10,0.8
34,histogram,10,1.0
35,histogram,10,1.0
36,histogram,10,1.8
37,histogram,10,1.6
38,histogram,10,0.4
39,histogram,10,0.6
40,histogram,10,1.0
41,histogram,10,1.6
42,histogram,10,0.8
43,histogram,10,0.2
44,histogram,10,0.8
45,histogram,10,1.0
46,histogram,10,1.2
47,histogram,10,1.2
48,histogram,10,1.4
49,histogram,10,0.4
0,wordcloud,10,0.1111111111111111
1,wordcloud,10,1.0
2,wordcloud,10,0.875
3,wordcloud,10,0.5714285714285714
4,wordcloud,10,0.8
5,wordcloud,10,1.0
6,wordcloud,10,2.0
7,wordcloud,10,2.2857142857142856
