topicIdx,visualization,cardinality,avgSharedTerms
24,wordcloud,20,1.8
25,wordcloud,20,1.2
26,wordcloud,20,2.2
27,wordcloud,20,2.3333333333333335
28,wordcloud,20,2.8
29,wordcloud,20,1.4
30,wordcloud,20,1.8
31,wordcloud,20,1.8
32,wordcloud,20,2.0
33,wordcloud,20,2.6
34,wordcloud,20,0.8
35,wordcloud,20,2.4
36,wordcloud,20,1.8
37,wordcloud,20,2.0
38,wordcloud,20,1.5
39,wordcloud,20,1.8
40,wordcloud,20,1.8
41,wordcloud,20,1.8
42,wordcloud,20,2.5
43,wordcloud,20,1.0
44,wordcloud,20,2.4
45,wordcloud,20,3.4
46,wordcloud,20,0.8
47,wordcloud,20,3.0
48,wordcloud,20,2.6
49,wordcloud,20,2.8
0,topic-in-a-box,20,1.0
1,topic-in-a-box,20,2.0
2,topic-in-a-box,20,2.7777777777777777
3,topic-in-a-box,20,1.4
4,topic-in-a-box,20,1.4
5,topic-in-a-box,20,3.6
6,topic-in-a-box,20,4.4
7,topic-in-a-box,20,3.6
8,topic-in-a-box,20,2.8
9,topic-in-a-box,20,4.6
10,topic-in-a-box,20,2.2
11,topic-in-a-box,20,2.0
12,topic-in-a-box,20,2.4
13,topic-in-a-box,20,2.6
14,topic-in-a-box,20,2.4
15,topic-in-a-box,20,2.0
16,topic-in-a-box,20,2.4
17,topic-in-a-box,20,1.0
18,topic-in-a-box,20,2.2
19,topic-in-a-box,20,4.8
20,topic-in-a-box,20,2.0
21,topic-in-a-box,20,2.4
22,topic-in-a-box,20,2.0
23,topic-in-a-box,20,1.8333333333333333
24,topic-in-a-box,20,2.8
25,topic-in-a-box,20,3.6666666666666665
26,topic-in-a-box,20,1.4
27,topic-in-a-box,20,2.1666666666666665
28,topic-in-a-box,20,2.2
29,topic-in-a-box,20,2.3333333333333335
30,topic-in-a-box,20,2.2
31,topic-in-a-box,20,2.6
32,topic-in-a-box,20,1.6
33,topic-in-a-box,20,2.2
34,topic-in-a-box,20,0.8
35,topic-in-a-box,20,2.2
36,topic-in-a-box,20,1.8
37,topic-in-a-box,20,2.6
38,topic-in-a-box,20,1.0
39,topic-in-a-box,20,1.0
40,topic-in-a-box,20,1.2
41,topic-in-a-box,20,1.0
42,topic-in-a-box,20,1.0
43,topic-in-a-box,20,1.2
44,topic-in-a-box,20,3.4
45,topic-in-a-box,20,1.0
46,topic-in-a-box,20,0.4
47,topic-in-a-box,20,3.4
48,topic-in-a-box,20,2.0
49,topic-in-a-box,20,2.6
